Psi,C0 ,C1 ,C2 ,C3 ,C4 ,C5,C6 ,C7 ,C8 ,C9 ,C10 
0,0.27389,-0.799,-0.26714,1.4761,3.7226,0.16033,0.64383,-1.733,-2.5867,0.55987,-0.54503
0,0.028002,-1.1022,-0.033521,0.22057,0.52258,0.10846,0.065941,-3.1077,-0.93098,2.4443,0.18878
0,0.012675,-1.1481,-0.015221,-0.082355,0.13759,0.041064,0.019569,-1.9848,-0.22151,2.9522,0.16896
0,7.36E-03,-1.1544,-6.54E-03,-0.36173,0.049133,0.04454,8.96E-03,-1.4999,-0.081464,3.0826,0.10436
0,4.99E-03,-1.2132,-4.37E-03,-0.46223,0.020326,0.068641,4.11E-03,-1.1912,-0.033493,3.2003,0.07499
90,0.79807,0.041621,-0.55195,0.94721,-0.33668,0.52973,-0.93391,-0.064536,0.28786,-0.22806,0
90,0.82407,0.023018,0.14705,0.15481,0.048556,0.16795,-0.12109,7.20E-03,0.093079,-0.094413,0
90,0.75607,1.84E-03,0.28788,0.023688,0.12715,0.0669,0.012227,0.021628,0.0418,-0.051236,0
90,0.68582,-1.65E-03,0.30738,-0.033522,0.13604,0.029992,0.072309,0.022755,0.022788,-0.030355,0
90,0.63097,8.49E-03,0.30584,-0.067862,0.13547,0.025147,0.092532,0.02252,0.015831,-0.029806,0
